data;casosAcumulados;casosNovos;descartados;recuperados;obitosAcumulados;obitosNovos;Letalidade
2020-06-20;36521;1428;31842;9956;743;19;0.02034445935
2020-06-19;35093;3333;30083;9366;724;15;0.02063089505
2020-06-18;31760;48;27365;7978;709;13;0.02232367758
2020-06-17;31712;1584;27347;7972;696;25;0.02194752775
2020-06-16;30128;1460;25795;7500;671;15;0.022271641
2020-06-15;28668;655;24402;6890;656;23;0.02288265662
2020-06-14;28013;559;24022;6689;633;10;0.02259665155
2020-06-13;27454;898;23915;6477;623;13;0.02269250382
2020-06-12;26556;1186;23189;6329;610;40;0.02297032686
2020-06-11;25370;1338;22364;5620;570;11;0.02246748128
2020-06-10;24032;1580;21385;5090;559;25;0.02326065246
2020-06-09;22452;1501;20650;4671;534;27;0.02378407269
2020-06-08;20951;641;20540;4340;507;23;0.02419932223
2020-06-07;20310;523;20341;4236;484;17;0.02383062531
2020-06-06;19787;1208;20333;4188;467;16;0.02360135442
2020-06-05;18579;1000;18730;3945;451;13;0.02427471877
2020-06-04;17579;1561;17516;3633;438;24;0.02491609307
2020-06-03;16018;1159;16043;3175;414;35;0.02584592334
2020-06-02;14859;1164;13270;2920;379;9;0.02550642708
2020-06-01;13695;533;12068;2637;370;10;0.02701715955
2020-05-31;13162;300;10975;2492;360;14;0.02735146634
2020-05-30;12862;851;10524;2472;346;19;0.02690094853
2020-05-29;12011;879;9495;2435;327;9;0.02722504371
2020-05-28;11132;923;8495;2430;318;20;0.02856629536
2020-05-27;10209;1290;7995;2232;298;12;0.02918993045
2020-05-26;8919;903;7845;2225;286;7;0.03206637515
2020-05-25;8016;193;7284;2218;279;7;0.03480538922
2020-05-24;7823;315;7178;2208;272;14;0.0347692701
2020-05-23;7508;626;6958;2203;258;10;0.03436334576
2020-05-22;6882;644;6529;2003;248;3;0.03603603604
2020-05-21;6238;400;6245;1997;245;15;0.03927540878
2020-05-20;5838;538;6145;1847;230;11;0.03939705379
2020-05-19;5300;514;5669;1747;219;12;0.04132075472
2020-05-18;4786;439;5356;1462;207;13;0.04325114919
2020-05-17;4347;284;5006;1171;194;11;0.04462847941
2020-05-16;4063;324;4739;1088;183;13;0.04504061039
2020-05-15;3739;378;4480;1069;170;10;0.04546670233
2020-05-14;3361;316;4233;731;160;3;0.0476048795
2020-05-13;3045;268;3674;630;157;3;0.05155993432
2020-05-12;2777;252;3137;601;154;15;0.05545552755
2020-05-11;2525;184;2785;537;139;4;0.05504950495
2020-05-10;2341;185;2526;537;135;11;0.05766766339
2020-05-09;2156;126;2490;490;124;10;0.05751391466
2020-05-08;2030;181;2414;490;114;3;0.05615763547
2020-05-07;1849;192;2356;490;111;10;0.06003244997
2020-05-06;1657;164;2247;320;101;9;0.06095353048
2020-05-05;1493;132;2158;310;92;7;0.06162089752
2020-05-04;1361;142;2014;227;85;6;0.06245407788
2020-05-03;1219;50;1957;227;79;3;0.06480721903
2020-05-02;1169;135;1902;177;76;2;0.06501283148
2020-05-01;1034;108;1831;177;74;7;0.07156673114
2020-04-30;926;112;1695;156;67;5;0.07235421166
2020-04-29;814;115;1616;152;62;4;0.07616707617
2020-04-28;699;66;1531;149;58;5;0.08297567954
2020-04-27;633;90;1482;119;53;3;0.08372827804
2020-04-26;543;44;1421;119;50;1;0.0921
2020-04-25;499;52;1392;117;49;3;0.0982
2020-04-24;447;61;1351;117;46;2;0.1029
2020-04-23;386;41;1274;116;44;4;0.114
2020-04-22;345;44;1217;116;40;1;0.1159
2020-04-21;301;38;1161;116;39;6;0.1296
2020-04-20;263;18;1098;116;33;1;0.1255
2020-04-19;245;9;1053;99;32;3;0.1306
2020-04-18;236;31;1034;90;29;1;0.1229
2020-04-17;205;10;979;90;28;2;0.1366
2020-04-16;195;30;979;80;26;2;0.1333
2020-04-15;165;13;920;80;24;3;0.1455
2020-04-14;152;16;888;52;21;5;0.1382
2020-04-13;136;25;878;52;16;3;0.1176
2020-04-12;111;10;832;43;13;0;0.1171
2020-04-11;101;16;832;43;13;2;0.1287
2020-04-10;85;6;770;30;11;0;0.1294
2020-04-09;79;24;770;0;11;4;0.1392
2020-04-08;55;14;693;0;7;3;0.1273
2020-04-07;41;5;649;0;4;0;0.0976
2020-04-06;36;1;608;0;4;0;0.1111
2020-04-05;35;1;563;0;4;1;0.1143
2020-04-04;34;2;523;0;3;2;0.0882
2020-04-03;32;3;505;0;1;0;0.0313
2020-04-02;29;8;445;0;1;0;0.0345
2020-04-01;21;3;424;0;1;0;0.0476
2020-03-31;18;1;387;0;1;1;0.0
2020-03-30;17;2;367;0;0;0;0.0
2020-03-29;15;1;349;0;0;0;0.0
2020-03-28;14;4;348;0;0;0;0.0
2020-03-27;10;4;303;0;0;0;0.0
2020-03-26;6;1;227;0;0;0;0.0
2020-03-25;5;2;117;0;0;0;0.0
2020-03-24;3;1;100;0;0;0;0.0
2020-03-23;2;1;61;0;0;0;0.0
2020-03-22;1;0;40;0;0;0;0.0
2020-03-21;1;1;0;0;0;0;0.0
2020-03-20;0;0;0;0;0;0;0.0
2020-03-19;0;0;0;0;0;0;0.0
2020-03-18;0;0;0;0;0;0;0.0
2020-03-17;0;0;0;0;0;0;0.0
2020-03-16;0;0;0;0;0;0;0.0
